x/m y/m t/s
23.669 15.0566 0.0
29.1098 16.3822 0.02
34.5507 17.7079 0.04
39.9915 19.0336 0.06
45.4323 20.3592 0.08
50.8731 21.6849 0.1
56.314 23.0106 0.12
61.7548 24.3363 0.14
67.1956 25.6619 0.16
72.6365 26.9876 0.18
78.0773 28.3133 0.2
83.5181 29.6389 0.22
88.9589 30.9646 0.24
88.9589 30.9646 0.24
